AssetId,StrategyId,AccountId,EntryPrice
T,BullShashi,shaIBKR01,29.53
VZ,BullShashi,shaIBKR01,56.69
WMT,BullShashi,shaIBKR01,141.76
ASHR,BullShashi,shaIBKR01,40.52
PG,BullShashi,shaIBKR01,134.93
MRK,BullShashi,shaIBKR01,75.81
FISV,BullShashi,shaIBKR01,110.1
EWH,BullShashi,shaIBKR01,26.84
DOW,BullShashi,shaIBKR01,65.65
JD,BullShashi,shaIBKR01,74.5
JNJ,BullShashi,shaIBKR01,165.3
CAT,BullShashi,shaIBKR01,217.7
WYNN,BullShashi,shaIBKR01,115.64
BAC,BullShashi,shaIBKR01,40.33
DIS,BullShashi,shaIBKR01,175.23
FCX,BullShashi,shaIBKR01,36
WBA,BullShashi,shaIBKR01,49.3
HON,BullShashi,shaIBKR01,219
UDOW,BullShashi,shaIBKR01,69.66
TSM,BullShashi,shaIBKR01,113.58
MYM,BullShashi,shaIBKR01,33690
SLF,BullShashi,shaIBKR01,50.5
MMM,BullShashi,shaIBKR01,193
DD,BullShashi,shaIBKR01,77.11
WHR,BullShashi,shaIBKR01,215.5
EXC,BullShashi,shaIBKR01,44.27
LMT,BullShashi,shaIBKR01,378.04
TLT,BullShashi,shaIBKR01,142.41
WLTW,BullShashi,shaIBKR01,234.2
LVS,BullShashi,shaIBKR01,52.39
NOMD,BullShashi,shaIBKR01,28.85
WFC,BullShashi,shaIBKR01,45.39
RCL,BullShashi,shaIBKR01,83.29
NEM,BullShashi,shaIBKR01,62.44
CVX,BullShashi,shaIBKR01,104.18
BA,BullShashi,shaIBKR01,240.22
MPLX,BullShashi,shaIBKR01,29.52
NUE,BullShashi,shaIBKR01,95.19
QSR,BullShashi,shaIBKR01,65.21
WDAY,BullShashi,shaIBKR01,236.04
MA,BullShashi,shaIBKR01,367.62
FCX,BullShashi,shaIBKR01,36.95
EXAS,BullShashi,shaIBKR01,115.19
VBTX,BullShashi,shaIBKR01,35.32
SFM,BullShashi,shaIBKR01,25.68
BIDU,BullShashi,shaIBKR01,188.67
BAC,BullShashi,shaIBKR01,39.63
BABA,BullShashi,shaIBKR01,211.78
MGM,BullShashi,shaIBKR01,41.48
FCX,BullShashi,shaIBKR01,36.66
URTY,BullShashi,shaIBKR01,101.45
GBTC,BullShashi,shaIBKR01,26.57
SQQQ,BullShashi,shaIBKR01,8.96
UDOW,BullShashi,shaIBKR01,71.96
SPXL,BullShashi,shaIBKR01,110.89
URTY,BullShashi,shaIBKR01,109.93
TQQQ,BullShashi,shaIBKR01,126.72
EWH,BullShashi,shaIBKR01,26.59
UDOW,BullShashi,shaIBKR01,75.77
RCL,BullShashi,shaIBKR01,79.84
BA,BullShashi,shaIBKR01,234.87
XBI,BullShashi,shaIBKR01,79.84
